,port_rets,port_vols,weights,sharpe_ratio
2874,6.62,10.43,[22.97263616 27.85183171 21.46280228  6.78241429 20.93031557],0.63
2875,6.73,11.08,[16.39106562 35.09031971  3.54473797 30.02155472 14.95232198],0.61
2876,6.21,8.2,[22.9607004  16.7543856   6.63661132 22.7601107  30.88819197],0.76
2877,7.34,13.3,[ 9.05149067 21.89972313 31.07048528 15.57065619 22.40764474],0.55
2878,7.19,12.95,[20.32681946 11.87507333 30.76908951 23.76354294 13.26547476],0.55
2879,7.17,12.44,[ 3.07687681 36.96761666 22.17568505  8.82348125 28.95634023],0.58
2880,6.3,8.99,[24.32597642 27.08220822  5.51022099 21.12404626 21.95754811],0.7
2881,7.18,13.23,[25.02078829 12.96442451 28.429617   28.9022161   4.6829541 ],0.54
2882,6.31,8.19,[15.970464    9.12406345 23.00914938  3.29072696 48.60559622],0.77
2883,6.92,12.19,[33.6548149   3.48270068 44.39573717  5.7217439  12.74500335],0.57
2884,7.4,13.82,[17.44818004  3.54645243 36.86825555 26.92791436 15.20919763],0.54
2885,7.08,12.54,[ 9.76932375 36.56403713  6.92102716 33.04427705 13.70133491],0.56
2886,6.43,10.09,[29.88699834 29.34311557  2.60614814 31.55333642  6.61040153],0.64
2887,7.64,14.49,[ 1.52151985 18.28319807 26.98453298 31.91668711 21.29406198],0.53
2888,7.25,12.48,[ 7.87509585  2.15462103 33.5965767  22.48210029 33.89160613],0.58
2889,7.32,13.05,[ 9.9075786   7.75450841 30.84118262 26.32794548 25.16878489],0.56
2890,6.9,11.8,[24.27142711 22.17501633 26.45510443 14.10581109 12.99264104],0.58
2891,6.65,9.81,[13.36037484  7.61050862 13.92790166 29.75260868 35.34860619],0.68
2892,6.74,11.28,[34.42812143  4.88409961 36.13023252 11.43616369 13.12138275],0.6
2893,6.75,10.44,[17.78343924  3.87243625 35.38753059  4.94401981 38.01257411],0.65
2894,6.71,10.48,[17.57141253 21.08086959 18.71999375 16.5923269  26.03539724],0.64
2895,7.11,11.49,[ 3.10370264  0.35958366 32.06844273 18.6476846  45.82058638],0.62
2896,7.0,11.51,[12.43629069  8.83156491 32.46483337 12.48724176 33.78006928],0.61
2897,7.71,15.29,[ 6.86533198 25.97237909 28.08523711 29.86418943  9.2128624 ],0.5
2898,6.94,11.3,[14.66828055  8.79537148 27.14185967 19.65626071 29.73822759],0.61
2899,5.78,7.35,[46.1478641  22.47269775  5.58461029 16.48786055  9.3069673 ],0.79
2900,7.25,13.61,[20.22018984 26.50754545 23.49102255 26.67966997  3.10157219],0.53
2901,8.21,17.45,[ 2.57168982  3.97664978 33.82734771 53.54983971  6.07447298],0.47
2902,7.15,12.19,[ 7.3702709  16.76074124 22.26580725 25.37997102 28.22320959],0.59
2903,7.58,14.47,[ 5.58567719 20.13760917 23.35620617 36.09914218 14.82136531],0.52
2904,6.16,8.24,[32.89155592  8.24470219 19.47885421 12.6351298  26.74975789],0.75
2905,6.41,10.01,[38.53151319  4.30446927  7.49524604 46.22126067  3.44751084],0.64
2906,7.07,12.94,[19.28937721 27.43841423  4.43004939 48.29822465  0.54393452],0.55
2907,7.15,13.25,[13.90950694 40.21546867  7.93667421 33.71826251  4.22008766],0.54
2908,6.84,11.27,[20.02164607 20.47653459 22.21615968 17.72556529 19.56009437],0.61
2909,7.24,13.58,[20.62829947 23.88771316 19.46962631 34.64661057  1.3677505 ],0.53
2910,6.74,10.29,[14.52973948  7.87955657 16.87759261 28.73695623 31.97615511],0.65
2911,6.61,9.63,[16.39589486  5.0819259  27.15227327 11.04198043 40.32792555],0.69
2912,6.36,10.15,[32.35669403 41.64431624  2.3679637  21.51202599  2.11900004],0.63
2913,7.11,12.97,[18.80122207 36.66864116 22.09021441 15.18602208  7.25390027],0.55
2914,6.67,10.31,[17.28595935 22.16607329 15.23441848 19.55749169 25.75605718],0.65
2915,6.63,10.97,[37.12975771  1.22866471 15.17190688 44.18125996  2.28841074],0.6
2916,6.46,9.18,[17.14567811 16.675869   10.49991187 23.28362692 32.39491411],0.7
2917,7.39,12.94,[ 0.87011782  4.14004801 26.15071266 34.29561326 34.54350824],0.57
2918,7.52,14.11,[ 8.37545319 14.66995539 44.72122656  6.05752049 26.17584438],0.53
2919,5.6,6.14,[42.60191892 17.55089795  5.83229132 10.95320931 23.06168251],0.91
2920,7.26,13.04,[15.74089167  9.6462052  30.59938854 25.8702732  18.1432414 ],0.56
2921,6.49,9.69,[25.40936758 12.08293415 10.77378227 31.50984479 20.22407122],0.67
2922,6.29,9.19,[29.43519561 31.29052784 10.27678432 12.60134007 16.39615217],0.68
2923,5.81,6.5,[29.59865226 13.02376124  4.39567387 17.72893553 35.25297711],0.89
2924,6.91,11.38,[ 9.2669955  33.13543449 14.18598224 17.70495818 25.70662959],0.61
2925,5.96,6.89,[16.52352902 24.48468772  3.05940354 10.23880646 45.69357325],0.87
2926,6.49,10.54,[40.00768359 21.3599558  23.62375912 12.43173326  2.57686823],0.62
2927,6.56,10.06,[25.70605235 15.61922466 17.25940968 21.66260046 19.75271285],0.65
2928,7.08,13.07,[28.03031446 25.78915228 36.35297545  4.95716225  4.87039556],0.54
2929,6.85,11.72,[28.39649434 15.88292057 21.58969311 26.8504833   7.28040868],0.58
2930,6.8,11.42,[24.21356703 26.99452716 20.68680565 15.94132249 12.16377766],0.6
2931,6.75,11.03,[27.36350087 13.1177338  32.84710021  6.93066824 19.74099688],0.61
2932,5.43,5.65,[48.56788367 18.52132391  7.12713041  5.14922439 20.63443761],0.96
2933,7.51,13.95,[ 5.76825195 16.59253601 28.64198915 27.84585397 21.15136892],0.54
2934,6.78,11.38,[30.61840351 15.16351016 29.76860514 12.97417212 11.47530908],0.6
2935,6.24,7.58,[ 5.11786892 21.02520981  8.33994537  9.02760483 56.48937107],0.82
2936,6.25,7.68,[ 6.33290837 22.23561335  7.4037773  10.31216778 53.7155332 ],0.81
2937,6.59,10.12,[23.06149982 20.13543129 18.15930105 16.51341318 22.13035466],0.65
2938,6.61,10.63,[25.25470862 28.65759338  9.33822412 25.73516326 11.01431061],0.62
2939,6.36,8.92,[20.78949524 20.24508341  8.97152253 21.16319567 28.83070316],0.71
2940,6.43,9.38,[24.80959421 10.85352644  9.46055436 32.13348472 22.74284027],0.69
2941,6.63,10.23,[26.04324674  1.56932223 19.38651063 31.37261383 21.62830657],0.65
2942,6.2,8.76,[31.95480163 27.01038032 14.18056847  7.92620514 18.92804444],0.71
2943,6.31,8.51,[13.03160615 30.65868203  6.26152232 11.58792989 38.4602596 ],0.74
2944,7.26,13.54,[12.30767252 30.56149662  9.9756315  41.00058492  6.15461445],0.54
2945,7.13,12.14,[10.77731684  6.71528963 22.00851737 34.2974619  26.20141427],0.59
2946,6.52,9.81,[22.45569923 23.59254575 17.59149448 12.03728464 24.3229759 ],0.66
2947,7.44,14.61,[13.41504464 45.7340035  26.17936803 11.44174213  3.2298417 ],0.51
2948,6.25,9.09,[33.4684335  28.74671017 16.6406879   5.17987418 15.96429425],0.69
2949,6.85,11.5,[12.93222968 43.84436398 18.98913626  1.99585285 22.23841723],0.6
2950,6.53,10.37,[35.05442777 16.99159388 26.99490165  9.12663026 11.83244643],0.63
2951,7.01,12.22,[18.78337598 20.40421366 14.61020517 35.20158626 11.00061892],0.57
2952,5.36,4.71,[35.97817999  9.19926154  7.20658026  2.88912349 44.72685472],1.14
2953,6.61,10.43,[21.6252867  23.4443268   5.5889503  33.72399139 15.61744481],0.63
2954,6.66,11.01,[34.03471948 18.67754051 32.41906791  3.57249169 11.2961804 ],0.6
2955,6.7,10.26,[ 5.46050476 36.1412946   8.68698746 14.4783242  35.23288898],0.65
2956,6.3,9.16,[34.03069503 10.65130372  8.03587558 34.10990852 13.17221715],0.69
2957,5.68,6.18,[38.36416221  4.69002156  4.2022091  23.87044414 28.87316299],0.92
2958,7.59,14.08,[ 0.4626036  17.77875345 35.45266598 16.61588472 29.69009226],0.54
2959,6.61,10.14,[18.45373495 17.39090386  7.03971945 34.40261859 22.71302316],0.65
2960,7.04,11.76,[ 3.39059121 34.40216069 26.11792578  0.27099831 35.81832401],0.6
2961,7.72,15.2,[ 3.78956152 25.9687471  27.59767103 29.60308623 13.04093412],0.51
2962,7.05,12.02,[12.67562837 21.33402782 21.66826084 21.94708085 22.37500211],0.59
2963,6.51,10.1,[27.65459343 21.89900327 10.60728311 26.52925295 13.30986725],0.64
2964,6.42,9.36,[29.34367464  1.47323678 16.49514669 30.1256685  22.56227339],0.69
2965,6.63,10.63,[22.05438519 33.32385409 12.04459068 17.26197247 15.31519757],0.62
2966,6.81,11.57,[24.66681434 22.30235377 10.17227809 36.3343129   6.52424089],0.59
2967,6.66,10.46,[28.5723172   0.03405681 30.78166979 17.26422193 23.34773427],0.64
2968,6.92,11.59,[13.22558607 24.67924051  8.33644298 35.48390616 18.27482429],0.6
2969,6.68,10.67,[24.25631519 20.92098801 18.66306695 19.10325984 17.05637001],0.63
2970,6.69,10.35,[16.81168188 22.08832447 25.45146282  4.2685317  31.37999914],0.65
2971,6.15,8.04,[19.06069654 30.81733791  6.81028651  8.07889509 35.23278396],0.77
2972,6.82,10.78,[18.20242838  3.87161585 27.03906665 20.73037708 30.15651204],0.63
2973,7.04,12.46,[23.91437998 19.08795432 35.29568953  7.62978515 14.07219101],0.56
2974,7.04,12.09,[14.36202934 24.16758937 23.49289104 17.50389721 20.47359306],0.58
2975,8.17,17.42,[ 7.97533307  3.65182583 45.01093835 37.66700861  5.69489414],0.47
2976,7.09,12.42,[22.23774083  3.12349629 29.14240164 30.09282194 15.4035393 ],0.57
2977,5.52,5.31,[35.10687648  6.76973998  4.74369153 13.9911313  39.38856071],1.04
2978,6.7,11.32,[32.33236603 13.00404456  8.39799565 45.89892021  0.36667355],0.59
2979,7.3,12.98,[ 3.67486113 27.80227564 24.53309894 17.36538653 26.62437777],0.56
2980,6.87,10.93,[14.28479114  6.60563256 18.39105196 31.89546738 28.82305696],0.63
2981,7.01,12.33,[17.50351006 30.45191551 13.63490094 28.54922466  9.86044882],0.57
2982,7.95,16.64,[ 2.9109848  41.92012123 35.5143987  13.33418869  6.32030658],0.48
2983,6.07,7.95,[33.11536503 18.44280286 15.56939777  7.70565396 25.16678038],0.76
2984,7.66,14.93,[ 4.32433184 31.0442933  30.09813257 19.67829503 14.85494726],0.51
2985,7.06,12.33,[22.08965389 10.31347448 28.95326976 23.81070072 14.83290116],0.57
2986,5.95,7.54,[30.14626278 29.32410876  4.08148655 11.48267921 24.96546269],0.79
2987,6.22,8.83,[36.46421936  2.47951917  7.57037344 39.39774416 14.08814388],0.7
2988,7.24,12.49,[ 9.33771092  3.19622145 35.17497058 19.49667542 32.79442163],0.58
2989,7.14,12.6,[17.07091697  8.67990621 18.44486237 41.77839791 14.02591654],0.57
2990,6.78,10.21,[ 9.1720543   1.22615305 12.50964263 39.05649993 38.0356501 ],0.66
2991,6.47,9.28,[16.82056304 14.80678854  4.88566585 33.45885241 30.02813017],0.7
2992,7.01,12.12,[18.37513894 23.27798971 23.08369163 19.59861828 15.66456144],0.58
2993,7.3,13.74,[21.369054   19.69410086 32.67300743 19.77688777  6.48694995],0.53
2994,7.0,12.36,[21.71647425 26.11004321 20.32452695 23.40745249  8.4415031 ],0.57
2995,7.41,13.63,[ 2.87704913 34.31928216 24.30091434 16.31314867 22.1896057 ],0.54
2996,7.58,15.12,[20.94367475 12.60190639 48.53462983 10.63924245  7.28054658],0.5
2997,6.18,7.94,[19.38116695 22.65897072 10.18360307  9.9307219  37.84553735],0.78
2998,6.51,9.96,[25.03708363 26.23868373 16.39092195 12.88644523 19.44686546],0.65
2999,6.87,11.84,[25.32139308 25.78763977 19.73247223 21.4685073   7.68998762],0.58
3000,6.76,10.53,[15.57419287 15.2779099  25.8339837  10.77347183 32.54044171],0.64
3001,6.09,8.75,[38.52704233 27.76043084  0.37520253 27.94416265  5.39316166],0.7
3002,6.68,10.79,[25.98692376 23.78640112 28.03700412  3.2060346  18.9836364 ],0.62
3003,5.77,7.02,[36.90021046 30.69561754  4.34913849  6.91974576 21.13528775],0.82
3004,7.15,13.35,[24.78426027 29.72808688 27.76979643 16.24897772  1.4688787 ],0.54
3005,6.57,10.72,[33.6998851  24.63646043 14.07128266 24.2095715   3.38280031],0.61
3006,6.69,10.68,[26.1403469  13.71937912 23.89298647 17.69494887 18.55233864],0.63
3007,7.3,13.21,[12.29213302 14.13329979 22.69005131 34.55259589 16.33191998],0.55
3008,7.32,13.67,[19.71950586 13.63782756 28.38701779 30.71109312  7.54455566],0.54
3009,6.89,11.58,[18.22676202 26.60613758 19.54145235 18.26425072 17.36139733],0.6
3010,5.62,5.03,[16.63402525  0.9710314  12.00072392  1.12147486 69.27274457],1.12
3011,7.34,13.27,[11.01931039 11.59506503 31.92489212 23.17196251 22.28876995],0.55
3012,6.93,11.74,[16.82633712 28.71996246 20.28965393 16.19624929 17.9677972 ],0.59
3013,5.51,6.45,[62.12495315  5.52143107 19.65083326  5.16199481  7.54078771],0.85
3014,6.19,8.85,[28.75406344 34.26212398  2.77907204 18.06776934 16.13697119],0.7
3015,6.77,11.41,[33.12964573 10.91588021 31.18974352 14.95396243  9.81076811],0.59
3016,7.35,13.68,[ 9.29437551 35.50981733 26.50751647 13.17611442 15.51217627],0.54
3017,6.88,11.86,[23.76363722 26.38538195 18.56569832 22.56770989  8.71757261],0.58
3018,7.16,12.73,[16.95978757 18.56400667 31.52957462 14.87353692 18.07309422],0.56
3019,6.74,10.81,[24.63759605 11.80090555 24.07527398 19.7972672  19.68895721],0.62
3020,6.27,8.45,[26.46323157  7.0992906  21.91941504 10.39068924 34.12737355],0.74
3021,5.85,5.65,[ 5.80260099  6.0717379   0.6398432  17.78207737 69.70374054],1.04
3022,6.74,11.27,[24.0625793  18.58173807  4.35959283 45.44631231  7.54977749],0.6
3023,6.79,11.56,[25.25362107 30.90401937 17.58352208 18.17629419  8.08254329],0.59
3024,7.34,14.03,[23.6640277  13.27588533 29.04474274 32.92294732  1.09239691],0.52
3025,7.06,12.06,[16.71206635 11.81093974 31.78731929 15.59080744 24.09886719],0.59
3026,6.91,11.95,[21.35969283 27.7021814  12.59879401 30.41245604  7.92687571],0.58
3027,7.55,14.33,[ 5.40414721 26.4467274  27.19471821 24.05935713 16.89505005],0.53
3028,7.08,12.67,[20.60006721 23.15949704 21.27546557 26.47120223  8.49376795],0.56
3029,6.98,11.44,[ 7.82073106 18.78570918 14.60155956 29.82931792 28.96268228],0.61
3030,7.33,13.92,[15.51333074 37.43852571 34.71878331  1.30904722 11.02031302],0.53
3031,7.64,14.94,[ 7.37198704 28.59870331 37.81999712 10.51192364 15.69738889],0.51
3032,7.09,12.72,[11.98969046 34.90797981  5.42394174 38.0505499   9.62783809],0.56
3033,7.62,15.5,[13.80993103 42.22422895 33.70071124  9.43015307  0.83497569],0.49
3034,6.34,9.61,[36.46946806 23.5719219  17.30446517 13.01560319  9.63854168],0.66
3035,6.61,10.54,[25.74407978 26.81120763 16.90272139 15.82971917 14.71227203],0.63
3036,6.34,9.51,[40.72096968  4.94123548 22.82776808 20.4372819  11.07274486],0.67
3037,6.69,11.33,[24.82973868 31.07186467  0.23467029 40.95551861  2.90820775],0.59
3038,6.64,10.66,[26.43311346 23.21152636 18.42026865 17.66238534 14.27270619],0.62
3039,6.65,10.72,[33.51632492  4.81823852 28.51304728 19.37727103 13.77511825],0.62
3040,5.98,7.36,[22.8825287  29.45953953  6.41650982  5.40787548 35.83354646],0.81
3041,6.93,12.33,[29.21362509 26.67242187 27.8240558  12.38960174  3.90029549],0.56
3042,5.74,6.21,[32.36342578 12.45342037 10.83722629  6.86474835 37.48117921],0.92
3043,6.08,8.84,[40.14983633 33.02399949  4.39103622 18.52063246  3.91449551],0.69
3044,6.01,7.8,[32.7386547  22.29115535  5.6080303  17.96659608 21.39556357],0.77
3045,6.49,9.74,[23.78481364 21.05052107 12.07641353 22.15949939 20.92875238],0.67
3046,6.02,7.61,[28.25944844 18.76938646  3.52100384 22.01470033 27.43546093],0.79
3047,6.88,11.49,[21.75943507 16.91447118 21.89521921 23.02791457 16.40295997],0.6
3048,6.73,11.03,[23.92327565 26.97310604 27.39501457  2.82882717 18.87977657],0.61
3049,5.87,5.72,[ 7.43307361  1.12188893  4.68779846 16.93302167 69.82421733],1.03
3050,7.83,15.79,[ 9.15931252 13.00468442 37.69065213 30.19010814  9.95524279],0.5
3051,7.36,14.44,[31.22738453  5.06087208 52.50090975  7.12129092  4.08954271],0.51
3052,5.62,5.72,[24.78575609 25.75721629  2.88053541  1.12771881 45.4487734 ],0.98
3053,6.41,9.9,[33.45873774 19.67834872  8.17464137 31.33624505  7.35202712],0.65
3054,6.86,11.16,[11.31870031 30.97276266 19.70441499 10.13558361 27.86853844],0.62
3055,6.92,11.52,[19.19150155 13.46091895 25.68529564 20.09796949 21.56431436],0.6
3056,6.94,12.23,[25.28483677 28.93851006 30.3230931   5.27378843 10.17977165],0.57
3057,6.42,10.15,[34.18399685 29.23324315  7.31089745 26.08765062  3.18421192],0.63
3058,5.61,6.45,[47.08594369 15.24513755  1.89913356 21.56194737 14.20783783],0.87
3059,6.66,10.4,[27.21305191  1.65715322 30.05462456 16.47452861 24.60064169],0.64
3060,7.04,11.97,[ 9.0298906  28.13221588 14.71472697 25.36460189 22.75856467],0.59
3061,6.85,11.13,[11.32574386 30.61988798 15.67669315 16.28456901 26.093106  ],0.62
3062,7.07,11.81,[ 8.4550037  14.54043335 20.25168166 27.78690767 28.96597363],0.6
3063,6.48,10.1,[26.57182224 32.01579405  9.38539741 19.20896384 12.81802245],0.64
3064,6.26,8.86,[27.09967863 25.49846139  7.91662777 18.57132707 20.91390514],0.71
3065,7.76,15.51,[ 3.75934181 27.96214094 20.60623719 40.1477713   7.52450876],0.5
3066,6.67,10.94,[23.78071325 37.17004283 19.51094991  5.0307194  14.50757462],0.61
3067,6.89,11.3,[21.12647343  4.30026622 33.42639861 14.54447409 26.60238765],0.61
3068,7.25,13.14,[18.05628104  9.46074189 28.36199032 30.39700893 13.72397781],0.55
3069,7.21,13.46,[28.56472367  1.00856421 50.70829292  6.00184014 13.71657906],0.54
3070,7.22,13.14,[ 7.9454257  43.95933819 22.32820707  7.79852566 17.96850339],0.55
3071,6.49,9.34,[21.98423188  7.38210742 22.33637668 15.3279296  32.96935443],0.7
3072,6.7,10.29,[10.93881024 24.73114064  8.68262067 25.73783831 29.90959014],0.65
3073,6.39,9.59,[22.76698393 33.22128938  2.20562527 24.19345507 17.61264634],0.67
3074,6.44,10.22,[36.85653456 22.36550494 12.47097038 25.51737518  2.78961494],0.63
3075,6.7,10.71,[23.53455008 21.33484729 22.47072848 13.14356685 19.51630729],0.63
3076,7.22,13.0,[ 7.18104228 36.02257695 14.77211839 25.11778544 16.90647693],0.56
3077,7.64,15.3,[15.79984483 21.56912325 33.84035093 26.27447581  2.51620519],0.5
3078,6.43,9.46,[29.34323541 10.41041211 16.10672632 24.14944377 19.99018239],0.68
3079,5.57,5.11,[24.16411184  1.69713407  0.26136987 20.83316377 53.04422045],1.09
3080,6.86,12.08,[28.58236569 29.01114764 16.46611508 25.53422421  0.40614738],0.57
3081,6.93,12.24,[26.97258018 26.0898294  20.21695528 23.43997354  3.2806616 ],0.57
3082,7.12,12.65,[14.61730384  6.52955601  5.78705146 61.11738151 11.94870718],0.56
3083,6.77,11.49,[26.4110343  25.69122387 11.40751367 31.41386535  5.07636281],0.59
3084,6.6,10.35,[24.95715878 23.91666436 25.92090835  3.13022891 22.0750396 ],0.64
3085,6.43,9.77,[32.86631428 18.03293778 17.54501846 18.13220755 13.42352192],0.66
3086,7.36,13.79,[14.53421952 24.63548801 29.73352654 19.40829295 11.68847299],0.53
3087,7.45,14.27,[14.6702823  23.29869891 31.01345339 21.90195089  9.11561451],0.52
3088,6.79,11.48,[25.05923334 29.08839745 16.59327384 20.67487506  8.5842203 ],0.59
3089,6.69,9.63,[ 8.22119221  0.28248245 17.08591913 29.04881883 45.36158738],0.7
3090,7.23,13.5,[22.34961464 24.93447697 31.68713705 15.22053794  5.8082334 ],0.54
3091,6.63,10.35,[19.80313991 28.60678989 16.15380405 13.11394418 22.32232197],0.64
3092,6.27,9.38,[42.34280705 12.4765194  30.49277799  1.25646194 13.43143362],0.67
3093,6.69,10.42,[12.85304473 34.3397317  20.50913169  0.75260665 31.54548524],0.64
3094,6.49,9.62,[25.90313552 11.25469455 19.67854902 18.67944984 24.48417107],0.68
3095,6.53,10.39,[38.48078249  4.38997573 24.82046304 23.77420202  8.53457672],0.63
3096,7.73,15.41,[ 4.39322153 15.84816127 13.36598621 59.87997287  6.51265812],0.5
3097,5.99,7.6,[32.00061638 10.37187668  0.05651148 34.27174798 23.29924748],0.79
3098,6.44,9.24,[23.84591326 11.10710905 19.20857826 16.52396697 29.31443247],0.7
3099,7.31,13.67,[ 3.64281771 44.94470902  5.63113962 34.1561207  11.62521295],0.53
3100,6.82,11.71,[33.41256387  4.64369862 22.03732717 36.00910368  3.89730666],0.58
3101,6.3,9.55,[38.13995579 13.65564085  4.65114142 39.47596308  4.07729885],0.66
3102,6.36,9.57,[37.45512359 12.91660592 21.55456733 15.73990372 12.33379945],0.66
3103,8.18,17.09,[ 1.9953118   1.89167883 51.14148129 26.65096059 18.3205675 ],0.48
3104,6.66,10.52,[26.83191621 10.35921449 28.74974142 12.02532061 22.03380726],0.63
3105,7.37,13.34,[ 9.07966067 10.40476588 28.62933025 29.31419554 22.57204766],0.55
3106,6.69,11.17,[28.59882059 26.49758436 13.93892797 25.15421405  5.81045304],0.6
3107,7.43,13.49,[ 5.50177186  3.04483309 18.99897345 49.90238489 22.5520367 ],0.55
3108,6.28,8.71,[21.36499597 30.43870378 15.18255894  1.20363773 31.81010358],0.72
3109,8.03,17.1,[ 7.70697873 32.44634174 51.25266915  1.16795906  7.42605131],0.47
3110,6.71,11.38,[30.62220646 22.18071864 10.59736599 35.36683865  1.23287025],0.59
3111,5.49,6.08,[57.45665376  2.45224488 16.66423516  8.91734392 14.50952228],0.9
3112,7.27,13.1,[ 7.64075162 32.10977534 29.33238965  7.62464454 23.29243886],0.56
3113,5.93,8.1,[51.41202461 13.99971648 14.40250434 17.03902151  3.14673306],0.73
3114,7.09,12.05,[ 9.10619595 22.74236217 34.72344273  0.23358502 33.19441413],0.59
3115,6.5,9.91,[22.67975367 26.96931705  6.29067903 26.28998824 17.77026201],0.66
3116,7.29,13.09,[ 7.01613087 24.34197572 18.4751578  30.52084086 19.64589475],0.56
3117,8.04,17.08,[ 7.59317131 28.73382757 43.07996579 17.06979496  3.52324038],0.47
3118,6.4,10.16,[38.96782598 28.78557137 17.83575466 11.79920457  2.61164341],0.63
3119,6.5,9.5,[13.25705719 25.72388265  2.06438993 29.05332078 29.90134945],0.68
3120,7.28,13.03,[ 5.66059838 30.65226488 26.08514509 13.11810169 24.48388997],0.56
3121,6.61,10.32,[25.40063806 17.48265722 20.27938912 17.33386197 19.50345363],0.64
3122,6.0,7.84,[34.19984543 20.77456371  4.09738283 21.94947088 18.97873715],0.77
3123,7.16,12.83,[20.2275735  12.97625966 28.45988296 25.51312499 12.82315889],0.56
3124,6.31,9.17,[35.68394079  2.58523522 13.40206038 33.31899338 15.00977023],0.69
3125,6.42,9.58,[30.01071096 15.56964873 14.89850404 22.44687894 17.07425733],0.67
3126,8.52,19.17,[ 4.25714573  8.8132682  53.3924123  32.02093273  1.51624103],0.44
3127,7.14,12.24,[11.24937882 12.62738195 23.53823705 27.87107048 24.71393169],0.58
3128,6.95,11.85,[19.38262555 16.16213584 15.16452005 35.61696527 13.67375329],0.59
3129,6.47,9.65,[30.64350542  2.91737577 18.65471282 27.9648391  19.81956689],0.67
3130,6.79,10.11,[ 0.35670816 26.49869234 21.57484788  2.04279346 49.52695816],0.67
3131,8.31,18.18,[ 1.12838677 29.38694728 52.14413631  9.17403026  8.16649939],0.46
3132,6.19,8.7,[36.36210477 15.83677175 17.86659979 12.47604976 17.45847392],0.71
3133,6.9,10.8,[ 8.28818311 11.03762377 23.02862807 19.57615314 38.06941191],0.64
3134,6.35,9.02,[26.48302039 19.09793818 18.84858095  9.00422741 26.56623308],0.7
3135,6.67,10.36,[18.78699194 20.10288277 14.91885379 22.41509996 23.77617154],0.64
3136,6.61,10.45,[24.72879907 26.24348896 24.88133254  3.30957001 20.83680942],0.63
3137,6.85,11.05,[ 9.25027356 28.89143406  9.00248605 26.66016725 26.19563909],0.62
3138,6.72,10.37,[ 7.4914095  33.08072323 10.43900976 15.82304753 33.16580998],0.65
3139,6.58,10.22,[22.53910805 22.96591651 10.766336   25.46840999 18.26022944],0.64
3140,7.54,14.49,[ 8.72870152 19.28535298 18.71104355 44.0830844   9.19181755],0.52
3141,6.65,10.22,[18.34403987 19.41336377 12.77637915 25.08313289 24.38308432],0.65
3142,6.36,9.28,[18.54632128 38.77876037  6.07885419 10.76964316 25.826421  ],0.69
3143,6.78,11.37,[26.45198888 22.00108668 16.25966795 26.77784277  8.50941372],0.6
3144,7.24,12.67,[ 7.56657576 17.34493446 24.43377066 25.00890972 25.64580939],0.57
3145,7.25,12.46,[ 2.3262567  20.01383842 24.5864854  20.27264362 32.80077586],0.58
3146,6.55,9.31,[ 9.83474192 22.2663244  13.19947359 14.29777831 40.4016818 ],0.7
3147,6.64,10.19,[15.39683466 23.85838063  8.68901379 26.49008047 25.56569045],0.65
3148,6.91,10.92,[ 2.7673992  28.6319316  18.28465691 11.40642486 38.90958744],0.63
3149,7.37,14.09,[14.60354855 35.8405499  25.47430297 18.01324252  6.06835606],0.52
3150,6.25,8.47,[15.52595281 35.57012236  6.22747644  7.12700326 35.54944512],0.74
3151,7.07,12.43,[22.58757765  8.58995948 36.73518517 13.93945057 18.14782712],0.57
3152,7.2,12.51,[ 5.39880134 27.3301194  23.40780376 16.4546442  27.40863129],0.58
3153,6.84,11.0,[10.28590648 31.30638409 21.16344034  6.35893836 30.88533073],0.62
3154,6.77,10.65,[18.41293868  8.50106781 20.10666163 26.46674664 26.51258524],0.64
3155,6.63,9.92,[20.80865933  3.56639154 26.99154987 15.26844324 33.36495602],0.67
3156,6.68,10.6,[23.98861111 18.8240521  30.85260381  1.53366344 24.80106954],0.63
3157,6.29,9.24,[40.71778622  3.03592742 24.6013664  17.38390641 14.26101355],0.68
3158,5.8,6.71,[35.68632306 13.84895519 11.33893687  9.27305869 29.85272618],0.87
3159,6.06,7.77,[25.4333022  25.86265821  4.39324451 15.21690917 29.09388591],0.78
3160,6.86,10.96,[ 7.97287976 27.58046361 13.2624622  20.8827412  30.30145323],0.63
3161,7.39,13.11,[ 2.77606442 13.84306093 38.27405235  9.09052738 36.01629492],0.56
3162,6.36,9.07,[22.87433147 16.45487493  3.51074891 33.39553298 23.76451172],0.7
3163,6.9,10.95,[ 5.80893834 27.05413943 24.19961623  4.49466601 38.44263999],0.63
3164,6.98,11.6,[12.42264032 20.45450496 25.2860676  14.32312987 27.51365724],0.6
3165,6.68,11.13,[35.79649752 14.38792043 27.14716892 16.60940912  6.05900401],0.6
3166,6.38,9.24,[20.11036525 29.97641376  4.61080526 20.88810187 24.41431387],0.69
3167,7.62,14.91,[ 8.04643299 29.93166307 35.85456825 12.22883306 13.93850263],0.51
3168,7.08,12.01,[ 9.07193408 25.73815087 27.48448991  8.69386485 29.01156029],0.59
3169,7.39,14.09,[20.38017018 15.19082345 38.62526862 16.73208901  9.07164874],0.52
3170,6.63,10.22,[22.00676604 17.65665567 23.31092623 11.38815176 25.6375003 ],0.65
3171,6.78,11.68,[34.57140224 19.49614849 29.65905792 12.00386614  4.26952521],0.58
3172,6.96,11.63,[12.35323384 23.32809384 13.40848279 29.57134628 21.33884325],0.6
