,port_rets,port_vols,weights,sharpe_ratio
495,6.62,10.05,[19.87286061 17.71281865 19.67784664 15.36811057 27.36836353],0.66
496,6.67,10.25,[18.23934397 17.55996185 16.38082075 21.61279759 26.20707584],0.65
497,5.81,7.48,[42.25476284 26.48684268  0.04814694 21.11468299 10.09556454],0.78
498,6.96,11.39,[13.87871842 10.55863641 25.08687489 21.80572026 28.67005001],0.61
499,7.44,13.65,[ 3.13751276 27.75167175 26.91558405 18.35875672 23.83647472],0.54
500,7.36,13.76,[12.01877652 31.3330684  33.28822979  7.44337703 15.91654826],0.53
501,7.1,12.36,[19.05435488  9.16872956 29.18921363 24.19903737 18.38866456],0.57
502,7.07,12.05,[ 9.8665783  26.60631937 24.82013297 12.41647478 26.29049458],0.59
503,7.0,11.94,[16.7652062  20.30876565 33.55799752  4.58584359 24.78218704],0.59
504,6.81,10.12,[ 4.0204933   6.0992768  15.79115435 29.0716946  45.01738095],0.67
505,6.66,10.36,[14.64664366 33.27887749 19.2452403   3.49652326 29.33271529],0.64
506,7.14,13.23,[25.95279632 23.55588266 26.1291743  23.48968092  0.87246581],0.54
507,7.48,14.7,[17.41547513 28.95286788 27.98109052 24.90014162  0.75042485],0.51
508,6.69,11.24,[39.43120309  2.91234743 29.44878197 23.90251877  4.30514873],0.6
509,6.58,10.46,[31.55214271 17.73571791 20.71535516 18.26404607 11.73273816],0.63
510,6.95,12.2,[23.4056406  24.56163135 16.99395457 28.72945159  6.3093219 ],0.57
511,7.37,14.31,[23.38176083 24.44836315 39.47082798  9.33047526  3.36857279],0.52
512,6.63,10.59,[23.60745059 31.12880299 20.20850907  6.96946859 18.08576876],0.63
513,6.17,8.14,[26.35256238 16.66160093  9.1993662  19.23602858 28.5504419 ],0.76
514,7.31,13.36,[ 9.37264785 29.59224399 35.43817798  2.43021791 23.16671227],0.55
515,7.83,15.51,[ 2.76386177 19.93990892 37.77619042 21.43204381 18.08799508],0.5
516,6.45,9.16,[14.17799945 26.8662261  11.50665743 12.28368681 35.16543021],0.7
517,6.03,7.68,[27.2138666  27.30205909 12.20366306  1.86401991 31.41639134],0.78
518,7.1,13.09,[21.66355797 34.97589234 19.0749089  22.34895494  1.93668585],0.54
519,6.87,11.3,[18.55729179 10.21529092 13.74778212 38.7752318  18.70440337],0.61
520,7.91,16.4,[10.90043351 11.84806394 31.07460342 45.26284683  0.91405229],0.48
521,6.65,10.43,[22.08730173 23.61078965 24.36931692  6.01251302 23.92007868],0.64
522,6.72,11.52,[30.94978641 29.87309736 13.99270183 24.87210248  0.31231191],0.58
523,5.57,6.19,[38.48825539 29.45203965  0.52015686  7.35814348 24.18140462],0.9
524,7.44,13.81,[ 0.42133308 40.10487844 31.03051208  1.66678829 26.77648811],0.54
525,7.43,13.55,[ 4.01768966 23.6092797  35.85867311  7.67859751 28.83576002],0.55
526,7.45,14.31,[12.6159799  24.56403696 18.66477916 38.9911057   5.16409828],0.52
527,5.91,7.19,[27.80016787 27.92160958  6.3078364   6.49652291 31.47386324],0.82
528,7.32,13.37,[10.52316524 26.4553824  29.44193116 14.80312164 18.77639956],0.55
529,5.85,6.92,[34.18641101  6.20670276  1.31484356 31.45779943 26.83424324],0.84
530,6.76,10.55,[18.70071201  5.98207593 19.46328657 28.89128255 26.96264294],0.64
531,7.86,16.02,[ 7.12736601 24.1640995  33.48313119 28.34533612  6.88006717],0.49
532,7.23,13.24,[16.58511076 24.26354289 24.39824901 24.25501381 10.49808352],0.55
533,6.71,10.83,[28.30748277  9.81745758 22.49649163 24.47126337 14.90730465],0.62
534,6.64,9.87,[18.18599918  1.45761063 18.46908849 29.22386353 32.66343817],0.67
535,6.22,8.95,[31.8548199  20.77662738  1.81578463 32.50718726 13.04558083],0.7
536,6.48,9.49,[26.06674996  7.95702681 19.22029479 21.28718714 25.4687413 ],0.68
537,6.87,11.94,[30.23586518 18.94470052 27.48348451 17.07246949  6.2634803 ],0.58
