Date,Mkt-RF,SMB,HML,RF,Mkt
19701104,0.0018,-0.0029,0.0018,0.00023,0.00203
19701105,-0.002,-0.0017,0.0007,0.00023,-0.00177
19701106,0.0009,-0.0032,0.0023,0.00023,0.00113
19701109,0.005,-0.0019,-0.0025,0.00023,0.00523
19701110,0.0015,-0.0001,-0.0006,0.00023,0.00173
19701111,0.0027,-0.0005,0.0038,0.00023,0.00293
19701112,-0.0111,-0.0068,0.0046,0.00023,-0.01087
19701113,-0.0096,-0.0027,0.0025,0.00023,-0.00937
19701116,-0.0017,-0.004,-0.0021,0.00023,-0.00147
19701117,0.0005,-0.0032,0.0026,0.00023,0.00073
19701118,-0.0077,-0.0068,0.0032,0.00023,-0.00747
19701119,0.0009,-0.0047,-0.0019,0.00023,0.00113
19701120,0.0098,-0.0004,-0.003,0.00023,0.01003
19701123,0.0063,-0.0037,0.0007,0.00023,0.00653
19701124,0.0058,-0.0037,0.0028,0.00023,0.00603
19701125,0.0042,-0.0006,0.0032,0.00023,0.00443
19701127,0.0098,-0.0014,-0.0037,0.00023,0.01003
19701130,0.0167,0.0079,-0.0007,0.00023,0.01693
19701201,0.0029,-0.001,0.0015,0.00019,0.00309
19701202,0.0122,0.0014,-0.0046,0.00019,0.01239
19701203,0.0045,0.0003,0.0049,0.00019,0.00469
19701204,0.0057,0.0011,0.0024,0.00019,0.00589
19701207,0.0058,0.0018,-0.0031,0.00019,0.00599
19701208,-0.0052,-0.0013,0.0006,0.00019,-0.00501
19701209,0.0001,-0.0028,-0.0001,0.00019,0.00029
19701210,0.0034,-0.001,-0.0006,0.00019,0.00359
19701211,0.0037,0.0014,-0.0012,0.00019,0.00389
19701214,-0.0057,-0.0045,0.0042,0.00019,-0.00551
19701215,-0.0018,-0.0023,0.001,0.00019,-0.00161
19701216,0.0012,0.0018,0.0001,0.00019,0.00139
19701217,0.0031,0.0012,-0.0001,0.00019,0.00329
19701218,0.0021,0.0037,-0.0001,0.00019,0.00229
19701221,-0.0029,0.0012,0.0006,0.00019,-0.00271
19701222,0.0012,0.0018,0.0008,0.00019,0.00139
19701223,0.0015,0.0036,0.0007,0.00019,0.00169
19701224,0.0069,0.0097,-0.0013,0.00019,0.00709
19701228,0.0053,0.0021,0.0004,0.00019,0.00549
19701229,0.0111,0.0049,0.0027,0.00019,0.01129
19701230,0.0018,0.0015,0.0009,0.00019,0.00199
19701231,-0.001,0.0026,-0.0008,0.00019,-0.00081
19710104,-0.0099,0.0054,0.0065,0.00019,-0.00971
19710105,0.0082,0.0069,0.0004,0.00019,0.00839
19710106,0.0074,0.0089,0.0051,0.00019,0.00759
19710107,0.0005,0.0009,0.0055,0.00019,0.00069
19710108,-0.0013,0.0005,0.0038,0.00019,-0.00111
19710111,-0.0011,0.005,0.0013,0.00019,-0.00091
19710112,0.0098,0.0078,0.004,0.00019,0.00999
19710113,-0.0009,0.0038,-0.0025,0.00019,-0.00071
19710114,0.0029,0.0005,0.0013,0.00019,0.00309
19710115,0.0028,0.004,0.0024,0.00019,0.00299
19710118,0.0035,0.0028,0.0028,0.00019,0.00369
19710119,0.0029,-0.0015,-0.0002,0.00019,0.00309
19710120,0.0008,0.0034,-0.0006,0.00019,0.00099
19710121,0.0047,0.0049,-0.0056,0.00019,0.00489
19710122,0.0067,-0.0003,-0.0032,0.00019,0.00689
19710125,0.0047,0.0045,-0.005,0.00019,0.00489
19710126,0.0028,0.0024,-0.0067,0.00019,0.00299
19710127,-0.0074,-0.0001,0.0002,0.00019,-0.00721
19710128,0.0037,0.0063,0.002,0.00019,0.00389
19710129,0.0066,0.0022,0.0014,0.00019,0.00679
19710201,0.0067,0.0068,-0.0019,0.00017,0.00687
19710202,0.0006,0.0007,-0.0003,0.00017,0.00077
19710203,0.003,0.0072,-0.0037,0.00017,0.00317
19710204,0.0014,0.0012,-0.0028,0.00017,0.00157
19710205,0.0045,0.0019,-0.0002,0.00017,0.00467
19710208,0.006,0.0082,0.0004,0.00017,0.00617
19710209,-0.0004,-0.0027,-0.0011,0.00017,-0.00023
19710210,-0.0011,-0.0019,-0.0003,0.00017,-0.00093
